GoldSummary,SystemSummary
"Existing property tax law establishes a veterans’ organization exemption under which property is exempt from taxation if, among other things, that property is used exclusively for charitable purposes and is owned by a veterans’ organization.
This bill would provide that the veterans’ organization exemption shall not be denied to a property on the basis that the property is used for fraternal, lodge, or social club purposes, and would make specific findings and declarations in that regard. The bill would also provide that the exemption shall not apply to any portion of a property that consists of a bar where alcoholic beverages are served.
Section 2229 of the Revenue and Taxation Code requires the Legislature to reimburse local agencies annually for certain property tax revenues lost as a result of any exemption or classification of property for purposes of ad valorem property taxation.
This bill would provide that, notwithstanding Section 2229 of the Revenue and Taxation Code, no appropriation is made and the state shall not reimburse local agencies for property tax revenues lost by them pursuant to the bill.
This bill would take effect immediately as a tax levy.",Expresses the sense of the California Legislature that all congressionally chartered veterans' halls and organizations should be exempt from state and federal taxation. Makes conforming amendments to the Internal Revenue Code and related federal regulations with respect to the tax exemption for veterans' halls and organizations.
"Existing law provides that the Board of Parole Hearings or its successor in interest shall be the state’s parole authority. Existing law requires that a prisoner who is found to be permanently medically incapacitated, as specified, be granted medical parole, if the Board of Parole Hearings determines that the conditions under which the prisoner would be released would not reasonably pose a threat to public safety. Existing law exempts a prisoner sentenced to death, a prisoner sentenced to life without the possibility of parole, and a prisoner who is serving a sentence for which parole is prohibited by initiative statute, from medical parole eligibility.
Existing law authorizes a court to resentence or recall the sentence of a prisoner if the court finds that the prisoner is terminally ill, as specified, or the prisoner is permanently medically incapacitated, as specified, and, in either case, the conditions under which the prisoner would be released or receive treatment do not pose a threat to public safety. Existing law exempts a prisoner sentenced to death or a term of life without the possibility of parole from eligibility for compassionate release pursuant to these provisions.
This bill would additionally exempt from medical parole eligibility and compassionate release eligibility a prisoner who was convicted of the first-degree murder of a peace officer or a person who had been a peace officer, as provided.",Makes a prisoner convicted of the first-degree murder of a peace officer ineligible for resentence or recall if the victim was a former or present peace officer who was killed in retaliation for his or her duties. Requires a prisoner convicted of such a murder to be granted medical parole if the Board of Parole Hearings determines that the conditions under which he or she would be released would not reasonably pose a threat to public safety. Exempts: (1) a prisoner sentenced to death or life in prison without possibility of parole; (2) a prisoner serving a sentence for which parole is prohibited by any initiative statute; and (3) a prisoner who was convicted of the first-degree murder of a peace officer who was killed while engaged in the performance of his or her duties.
"The Sales and Use Tax Law imposes a tax on retailers measured by the gross receipts from the sale of tangible personal property sold at retail in this state, or on the storage, use, or other consumption in this state of tangible personal property purchased from a retailer for storage, use, or other consumption in this state. The Personal Income Tax Law imposes taxes on personal taxable income at specified rates, and the Corporation Tax Law imposes taxes upon, or measured by, corporate income.
This bill would state legislative findings regarding the Upward Mobility Act, key provisions of which would expand the application of the Sales and Use Tax law by imposing a tax on specified services, would enhance the state’s business climate
and
,
would incentivize entrepreneurship and business creation by evaluating the
Corporate Tax Law,
corporate tax,
and would examine the impacts of a lower and simpler
Personal Income Tax Law.
personal income tax.
This bill would, on and after January 1, ___, expand the Sales and Use Tax Law to impose a tax on the gross receipts from the sale in this state of, or the receipt of the benefit in this state of services at a rate of ____%.",". The expanded summary of the Senate passed version is repeated here.) (Sec. 1) This bill amends the Internal Revenue Code to impose a new tax on an individual whose adjusted gross income in California exceeds $1 million ($2 million for married couples filing joint tax returns). The tax rate is set at 125% of the gross income level for taxpayers whose adjusted gross income in California exceeds $1 million ($2 million for married couples filing joint tax returns). The revenue collected by the tax shall be used to: (1) support infrastructure and public higher education, (2) build the ladder of mobility for all residents, (3) reduce income inequality, and (4) support businesses and organizations that create jobs."
"Existing law requires all moneys, except for fines and penalties, collected by the State Air Resources Board from a market-based compliance mechanism relative to reduction of greenhouse gas emissions to be deposited in the Greenhouse Gas Reduction Fund.
Existing law establishes the Transit and Intercity Rail Capital Program, which receives 10% of the annual proceeds of the Greenhouse Gas Reduction Fund as a continuous appropriation, to fund capital improvements and operational investments to modernize California’s rail systems to achieve certain policy objectives, including reducing greenhouse gas emissions, expanding and improving rail services to increase ridership, and improving rail safety. Existing law requires the Transportation Agency to evaluate applications for funding under the program and to prepare a list of projects recommended for funding, with grants to be awarded by the California Transportation Commission.
This bill would modify the purpose of the program to delete references to operational investments and instead provide for the funding of transformative capital improvements, as defined, that will modernize California’s intercity, commuter, and urban rail systems and bus and ferry transit systems to achieve certain policy objectives, including reducing emissions of greenhouse gases, expanding and improving transit services to increase ridership, and improving transit safety. By expanding the purposes for which continuously appropriated moneys may be used, the bill would make an appropriation. The bill would modify the information required to be included in applications for grants under the program and would authorize an eligible applicant to submit an application to fund a project over multiple fiscal years and to submit multiple applications. The bill would require the Transportation Agency, in selecting projects for funding, to consider the extent to which a project reduces greenhouse gas emissions, would add additional factors to be considered in evaluating applications for funding, and would expand certain factors considered to include bus and ferry transit service. The bill would require the Transportation Agency to approve, by July 1, 2018, a 5-year program of projects, and would require the California Transportation Commission to allocate funding to eligible applicants pursuant to the program of projects, with subsequent programs of projects to be approved not later than April 1 of each even-numbered year thereafter. The bill would require the Transportation Agency, in cooperation with the California Transportation Commission and at the request of an eligible applicant, to enter into and execute a multiyear funding agreement for a project to be funded over more than one fiscal year, as specified, and would authorize the California Transportation Commission to approve a letter of no prejudice that would allow an applicant to expend its own moneys on a project in the approved program of projects, subject to future reimbursement from program moneys for eligible expenditures.","This bill amends the Public Resources Code, with respect to the California Transit and Intercity Rail Capital Program, to revise requirements for eligible projects under the program to include: (1) rail capital projects, including acquisition of rail cars and locomotives that expand, enhance, and improve existing rail systems and connectivity to existing and future transit systems, including the high-speed rail system; (2) intercity, commuter, and urban rail projects that increase service levels, improve reliability, or decrease travel times, including infrastructure access payments to host railroads in lieu of capital investments; (3) rail, bus, and ferry integration implementation, including integrated ticketing and scheduling systems, shared-use corridors, related planning efforts, and other service integration initiatives; and (4) implementing low carbon transit and other bus and ferry transit investments to increase ridership and reduce greenhouse gas emissions. The program shall have a programmatic goal of providing at least 25% of available funding to projects benefiting disadvantaged communities. In evaluating grant applications for funding, the Transportation Agency shall consider: the cobenefits of projects that support the implementation of sustainable communities strategies through one or more of the following: reducing vehicle miles traveled from automobiles and the number of automobile trips through growth in transit; promoting housing development in the vicinity of rail stations and major transit centers; expanding existing rail and public transit systems"
"Existing law defines a request regarding resuscitative measures as a written document, signed by an individual with capacity, or a legally recognized health care decisionmaker, and the individual’s physician, directing a health care provider regarding resuscitative measures. Existing law defines a Physician Orders for Life Sustaining Treatment form, which is commonly referred to as a POLST form, and provides that a request regarding resuscitative measures includes a POLST form. Existing law requires that a POLST form and the medical intervention and procedures offered by the form be explained by a health care provider. Existing law distinguishes a request regarding resuscitative measures from an advance health care directive.
This bill would enact the California POLST eRegistry Pilot Act. The bill would require the Emergency Medical Services Authority to establish a pilot project, in consultation with stakeholders, to operate an electronic registry system on a pilot basis, to be known as the California POLST eRegistry Pilot, for the purpose of collecting POLST information received from a physician or physician’s designee. The bill would require the authority to coordinate the POLST eRegistry Pilot, which would be operated by health information exchange networks, by an independent contractor, or by a combination thereof. The bill would require the authority to implement these provisions only after it determines that sufficient nonstate funds are available for development of the POLST eRegistry Pilot, any related startup costs, and an evaluation of the POLST eRegistry Pilot. When the POLST eRegistry Pilot is operable in the geographic area in which he or she operates or practices, a physician or physician’s designee who completes POLST information would be required to include the POLST information in the patient’s official medical record and would be required to submit a copy of the form to, or to enter the information into, the POLST eRegistry Pilot, unless a patient or his or her health care decisionmaker chooses not to participate in the POLST eRegistry Pilot. The bill would require the authority to adopt guidelines for, among other things, the operation of the POLST eRegistry Pilot, including the means by which POLST information would be submitted electronically, modified, or withdrawn, the appropriate and timely methods for dissemination of POLST form information, the procedures for verifying the identity of an authorized user, and rules for maintaining the confidentiality of POLST information received by the POLST eRegistry Pilot. The bill would require that any disclosure of POLST information in the POLST eRegistry Pilot be made in accordance with applicable state and federal privacy and security laws and regulations. The bill would provide immunity from criminal prosecution, civil liability, discipline for unprofessional conduct, and any other sanction for a health care provider who honors a patient’s request regarding resuscitative measures obtained from the POLST eRegistry Pilot, as specified. The bill would require an independent contractor approved by the authority to conduct an evaluation of the POLST eRegistry Pilot. The provisions of the bill would be operative until January 1, 2020.","(This measure has not been amended since it was reported to the Senate on March 19, 2003. The summary of that version is repeated here.) California POLST eRegistry Pilot Act - (Sec. 2) Amends the Probate Code to direct the Emergency Medical Services Authority of California to establish a pilot project to operate an electronic registry system (POLST eRegistry Pilot) on a pilot basis, to be known as the California POLST eRegistry Pilot, for the purpose of collecting patient information and disseminating such information to an authorized user. Requires the Authority to: (1) implement this Act only after determining that sufficient nonstate funds are available for the development of the Pilot, any related startup costs, and an evaluation of the Pilot; and (2) coordinate the Pilot, which shall be operated by, and as a part of, the health information exchange networks, or by an independent contractor, or by a combination thereof. Directs the Authority to adopt guidelines necessary for the operation of the Pilot, which shall include: (1) the means by which initial or subsequent POLST information may be submitted to, or withdrawn from, the Pilot; (2) appropriate and timely methods for electronic delivery of such information and the use of legally sufficient electronic signatures; (3) procedures for verifying the identity of"
"The Political Reform Act of 1974 provides for the comprehensive regulation of campaign financing and related matters, including the reporting of gifts, as defined. The act prohibits specified officers from receiving gifts in excess of $440 in value from a single source in a calendar year. The act exempts gift payments for the actual costs of specified types of travel that are reasonably related to a legislative or governmental purpose, or to an issue of state, national, or international public policy, from the annual limit on the value of gifts from a single source.
This bill would require a nonprofit organization that regularly organizes and hosts travel for elected officials, as specified, and that pays for these types of travel for an elected state officer or local elected officeholder to disclose the names of donors who, in the preceding year, both donated to the nonprofit organization and accompanied an elected officer or officeholder for any portion of the travel, as specified. The bill would require a person who receives a gift of a travel payment from any source to report the travel destination on his or her statement of economic interests.
This bill would incorporate additional changes to Section 87207 of the Government Code proposed by both this bill and AB 10, which would become operative only if both bills are enacted and become effective on or before January 1, 2016, and this bill is chaptered last.
A violation of the act’s provisions is punishable as a misdemeanor. By expanding the scope of an existing crime, this bill would impose a state-mandated local program.
The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.
This bill would provide that no reimbursement is required by this act for a specified reason.
The Political Reform Act of 1974, an initiative measure, provides that the Legislature may amend the act to further the act’s purposes upon a
2/3
vote of each house and compliance with specified procedural requirements.
This bill would declare that it furthers the purposes of the act.","(Sec. 1) This bill amends the Government Code, with respect to the income tax reporting requirements of State and local governments, to require a tax statement to include: the name and address of each source of income aggregating five hundred dollars ($500) or more in value, or fifty dollars ($50) or more in value if the income was a gift; a statement whether the aggregate value of income from each source, or in the case of a loan, the highest amount owed to each source, was at least five hundred dollars ($1,000) but did not exceed one thousand dollars ($1,000) whether it was greater than ten thousand dollars ($10,000) but not greater than one hundred thousand dollars ($100,000), or whether it was greater than one hundred thousand dollars ($100,000); a description of the consideration for which the income was received; in the case of a gift, the amount and the date on which the gift was received and the travel destination for purposes of a gift that is a travel payment, advance, or reimbursement; and the annual interest rate, the security, if any, given for the loan and the term of the loan. The bill also: (1) requires a tax statement of every person from whom the business entity received payments if the filer's pro rata share"
"The Song-Brown Health Care Workforce Training Act creates a state medical contract program to increase the number of students and residents receiving quality education and training in specified primary care specialties or in nursing, and to maximize the delivery of primary care and family physician services to specific areas of California where there is a recognized unmet priority need for those services. The act requires the Director of Statewide Health Planning and Development to, among other things, contract with accredited medical schools, teaching health centers, training programs, hospitals, and other health care delivery systems for those purposes, based on recommendations of the California Healthcare Workforce Policy Commission and in conformity with the contract criteria and program standards established by the commission.
This bill would appropriate $300,000,000 from the General Fund to the director for the purpose of funding new and existing graduate medical education physician residency positions, and supporting training faculty, pursuant to the act, for expenditure as specified. The bill would also make related findings and declarations.
Existing law, the Song-Brown Health Care Workforce Training Act, declares the intent of the Legislature to increase the number of students and residents receiving quality education and training in the specialty of family practice and as primary care physician’s assistants and primary care nurse practitioners. Existing law establishes, for this purpose, a state medical contract program with accredited medical schools, programs that train primary care physician’s assistants, programs that train primary care nurse practitioners, registered nurses, hospitals, and other health care delivery systems.
Existing law requires the Office of Statewide Health Planning and Development to establish the Health Professions Education Foundation to solicit and receive funds for the purpose of providing financial assistance in the form of scholarships or loans to medical students from underrepresented groups. Under existing law, the foundation also administers other programs for the advancement of health professions, including the Registered Nurse Education Program.
This bill would establish the Medical Residency Training Advisory Panel, consisting of a total of 13 members to be appointed as specified, within the Health Professions Education Foundation.
The bill would create the Medical Residency Training Fund in the State Treasury, a continuously appropriated fund, and would require the panel to solicit and accept funds from business, industry, foundations, and other private or public sources for the purpose of establishing and funding new graduate medical residency training programs in specified areas of the state, including medically underserved areas. By creating a continuously appropriated fund, the bill would make an appropriation. The bill would require the foundation to provide technical support and financial management for the panel and to approve and send panel recommendations for new residency programs to the Office of Statewide Health Planning and Development for implementation if specified requirements are met, including sufficient funding. The bill would require the office to enter into contracts with public and private sector institutions and other health agencies and organizations in order to fund and establish recommended residency positions. The bill would authorize the Governor to include in the annual budget proposal an amount, as he or she deems reasonable, to be appropriated for this purpose. The bill, if the Legislature appropriates money for this purpose, would require the office to hold the funds and distribute them into the fund, upon request of the panel, in an amount matching the amount deposited into the fund, as specified. The bill would require money that was appropriated, but that has not been distributed to the fund at the end of each fiscal year, to be returned to the General Fund.
Existing constitutional provisions require that a statute that limits the right of access to the meetings of public bodies or the writings of public officials and agencies be adopted with findings demonstrating the interest protected by the limitation and the need for protecting that interest.
This bill would make legislative findings to that effect.","This bill makes continuous appropriations from the General Fund to the Office of Statewide Health Planning and Development for the purpose of funding new and existing graduate medical education physician residency positions, and supporting training faculty, pursuant to the Medical Training Fund Act. The bill establishes the Medical Residency Training Advisory Panel to advise the Office of Statewide Health Planning and Development on the establishment and operation of medical residency training programs in California."
"Existing law requires each county to provide cash assistance and other social services to needy families through the California Work Opportunity and Responsibility to Kids (CalWORKs) program using federal Temporary Assistance to Needy Families (TANF) block grant program, state, and county funds. Under existing law, for purposes of determining a family’s maximum aid payment under the CalWORKs program, the number of needy persons in the same family is not increased for any child born into a family that has received aid under the CalWORKs program continuously for the 10 months prior to the birth of the child, with specified exceptions.
This bill would repeal that exclusion for purposes of determining the family’s maximum aid payment and would expressly prohibit the denial of aid, or the denial of an increase in the maximum aid payment, if a child, on whose behalf aid or an increase in aid is being requested, was born into an applicant’s or recipient’s family while the applicant’s or recipient’s family was receiving aid under the CalWORKs program. The bill would specify that an applicant or recipient is not entitled to an increased benefit payment for any month prior to January 1, 2016, as a result of the repeal of that exclusion or the enactment of that express prohibition. The bill would also prohibit the department from conditioning an applicant’s or recipient’s eligibility for aid on the applicant’s or recipient’s disclosure of information regarding rape, incest, or contraception, as specified, or the applicant’s or recipient’s use of contraception.
Existing law continuously appropriates moneys from the General Fund to defray a portion of county aid grant costs under the CalWORKs program.
This bill would declare that no appropriation would be made for purposes of the bill.
To the extent that this bill affects eligibility under the CalWORKs program, the bill would create a state-mandated local program.
The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.
This bill would provide that, if the Commission on State Mandates determines that the bill contains costs mandated by the state, reimbursement for those costs shall be made pursuant to these statutory provisions.","This bill amends the Welfare and Institutions Code, with respect to the maximum family grant program, to prohibit an applicant for, or recipient of, aid under such program from being required, as a result of rape or incest, to: (1) share confidential medical records with any member of the assistance unit living in rape or incest; or (2) choose a particular method of contraception or sterilization of any member of the assistance unit living in rape or incest. An applicant for, or recipient of, aid under such program shall not be denied aid, or denied an increase in the maximum aid payment, for a child born into the applicant or recipient family unit not receiving aid under such program during a period in which the applicant or recipient family was not receiving aid under such program for 24 consecutive months. The number of needy persons in the same family shall not be increased for any child born into a family that has received aid under such program continuously for the 10 months before, or within three months after, the birth of the child, or if paternity has been established if the family does not receive aid during two consecutive months. This bill shall not apply to any child conceived as a result of contraceptive failure if the parent was using an intrauterine contraception device,"
"The California Public Employees’ Pension Reform Act of 2013 (PEPRA) requires a public retirement system, as defined, to modify its plan or plans to comply with the act and, among other provisions, establishes new retirement formulas that may not be exceeded by a public employer offering a defined benefit pension plan for employees first hired on or after January 1, 2013. Existing law, the Joint Exercise of Powers Act, generally authorizes 2 or more public agencies, by agreement, to jointly exercise any common power, which may include hiring employees and establishing retirement systems. PEPRA authorizes a joint powers authority formed by the Cities of Brea and Fullerton on or after January 1, 2013, to provide its employees the defined benefit plan or formula that those employees received from their respective employers prior to the exercise of a common power, to which the employee is associated, by the joint powers authority to any employee of specified cities who is not a new member and subsequently is employed by the joint powers authority within 180 days of the city providing for the exercise of a common power, to which the employee was associated, by the joint powers authority.
This bill would authorize a joint powers authority formed by the Belmont Fire Protection District, the Estero Municipal Improvement District, and the City of San Mateo on or after January 1, 2013, to provide employees who are not new members under PEPRA with the defined benefit plan or formula that was received by those employees from their respective employers on December 31, 2012, if they are employed by the joint powers authority within 180 days of the agency providing for the exercise of a common power, to which the employee was associated, by the joint powers authority. The bill would prohibit the formation of a joint powers authority on or after January 1, 2013, in a manner that would exempt a new employee or a new member from the requirements of PEPRA.
This bill would make legislative findings and declarations as to the necessity of a special statute for the Belmont Fire Protection District, the Estero Municipal Improvement District, and the City of San Mateo.","(This measure has not been amended since it was reported to the House on November 16, 2012. The summary of that version is repeated here.)<n><n>(Sec. 1) Amends the Government Accountability Office Act of 1974 (GAO) to require the state of California to establish, as of January 1, 2013, a defined benefit pension plan for employees of public employers that complies with the requirements of this Act, but not for employees who were employed by any public employer before January 1, 2013, and who became employed by a subsequent public employer for the first time on or after January 1, 2013.<n><n>Makes such requirement inapplicable to: (1) public employees whose interests are protected under federal civil service law until a federal district court rules that the United States Secretary of Labor, or his or her designee, in determining that such requirement precludes certification until January 1, 2016, whichever is sooner; and (2) public employees who are new members as defined in this Act. Provides that this article shall not apply to a multiemployer plan authorized under the federal Taft-Hartley Act if the public employer began participation in the plan prior to January 1, 2013, and the plan is regulated by the federal Employee Retirement Income Security Act of 1974. Provides that this article shall not apply to: (1) individuals who were employed by any public employer before"
"(1) Existing law regulates the distribution and use of livestock drugs, as defined, by the Secretary of Food and Agriculture. Existing law also requires a person to obtain a license from the secretary to manufacture, sell, distribute, or store commercial feed, including commercial feed containing drugs.
This bill would, beginning January 1, 2018, prohibit the administration of medically important antimicrobial drugs, as defined, to livestock unless ordered by a licensed veterinarian through a prescription or veterinary feed directive pursuant to a veterinarian-client-patient relationship, as specified, and would prohibit the administration of a medically important antimicrobial drug to livestock solely for purposes of promoting weight gain or improving feed efficiency. The bill would require the Department of Food and Agriculture, in consultation with the Veterinary Medical Board, the State Department of Public Health, universities, and cooperative extensions, to develop antimicrobial stewardship guidelines and best management practices on the proper use of medically important antimicrobial drugs and would require the department to gather information on medically important antimicrobial drug sales and usage, antimicrobial resistant bacteria, and livestock management practice data. The bill would require information provided pursuant to those provisions to be held confidential, as specified. The bill would authorize the department to request and receive copies of veterinary feed directives from certain persons to implement the bill’s provisions. The bill would make a first violation of the bill’s provisions subject to a civil penalty of up to $250 for each day a violation occurs, and would make second and subsequent violations subject to an administrative fine of $500 for each day a violation occurs, except as specified.
(2) Existing constitutional provisions require that a statute that limits the right of access to the meetings of public bodies or the writings of public officials and agencies be adopted with findings demonstrating the interest protected by the limitation and the need for protecting that interest.
This bill would make legislative findings to that effect.","This bill amends the Food and Agricultural Code to prohibit the administration of medically important antimicrobial drugs to livestock unless ordered by a licensed veterinarian through a prescription or veterinary feed directive. A &ldquo;medically important antimicrobial drug&rdquo; is an antimicrobial drug listed in Appendix A of the Food and Drug Administration's Guidance for Industry #152 that is: critically important, highly important, and important in the professional judgment of a licensed veterinarian; necessary to treat a disease or infection; necessary to control the spread of a disease or infection; or necessary in relation to surgery or a medical procedure. A medically important antimicrobial drug may also be used when, in the professional judgment of a licensed veterinarian, it is needed for prophylaxis to address an elevated risk of contraction of a particular disease or infection. A person shall not administer a medically important antimicrobial drug to livestock solely for purposes of promoting weight gain or improving feed efficiency unless the administration is consistent with this bill. Medically important antimicrobial drugs may be sold by retailers licensed under the Business and Professions Code."
